
Iniciando Entrenamiento del Modelo Tradicional...
Epoch 62/150 | Train Loss: 0.3277 | Val Loss: 3.8544 | Val Acc: 81.86%
Epoch 63/150 | Train Loss: 0.3308 | Val Loss: 3.8387 | Val Acc: 81.42%
Epoch 64/150 | Train Loss: 0.3709 | Val Loss: 3.8652 | Val Acc: 81.86%
Epoch 65/150 | Train Loss: 0.3345 | Val Loss: 3.8350 | Val Acc: 80.97%
Epoch 66/150 | Train Loss: 0.2916 | Val Loss: 3.8323 | Val Acc: 81.42%
Epoch 67/150 | Train Loss: 0.3339 | Val Loss: 3.8479 | Val Acc: 81.86%
Epoch 68/150 | Train Loss: 0.3512 | Val Loss: 3.8006 | Val Acc: 81.42%
Epoch 69/150 | Train Loss: 0.3208 | Val Loss: 3.7896 | Val Acc: 81.86%
Epoch 70/150 | Train Loss: 0.3467 | Val Loss: 3.7975 | Val Acc: 80.97%
Epoch 71/150 | Train Loss: 0.3451 | Val Loss: 3.7824 | Val Acc: 80.97%
Epoch 72/150 | Train Loss: 0.3317 | Val Loss: 3.7794 | Val Acc: 82.30%
Epoch 73/150 | Train Loss: 0.3110 | Val Loss: 3.7875 | Val Acc: 81.86%
Epoch 74/150 | Train Loss: 0.3646 | Val Loss: 3.9668 | Val Acc: 82.30%
Epoch 75/150 | Train Loss: 0.4057 | Val Loss: 3.8270 | Val Acc: 81.42%
Epoch 76/150 | Train Loss: 0.3533 | Val Loss: 3.8163 | Val Acc: 81.42%
Epoch 77/150 | Train Loss: 0.3749 | Val Loss: 3.7465 | Val Acc: 81.42%
Epoch 78/150 | Train Loss: 0.3556 | Val Loss: 3.8430 | Val Acc: 82.30%
Epoch 79/150 | Train Loss: 0.3367 | Val Loss: 3.8651 | Val Acc: 81.42%
Epoch 80/150 | Train Loss: 0.3386 | Val Loss: 3.8628 | Val Acc: 81.42%
Epoch 81/150 | Train Loss: 0.3149 | Val Loss: 3.8036 | Val Acc: 81.86%
Epoch 82/150 | Train Loss: 0.3526 | Val Loss: 3.7803 | Val Acc: 81.42%
Epoch 83/150 | Train Loss: 0.3407 | Val Loss: 3.9420 | Val Acc: 81.86%
Epoch 84/150 | Train Loss: 0.3145 | Val Loss: 3.8034 | Val Acc: 81.86%
Epoch 85/150 | Train Loss: 0.3241 | Val Loss: 3.7671 | Val Acc: 81.42%
Epoch 86/150 | Train Loss: 0.3262 | Val Loss: 3.7638 | Val Acc: 81.42%
Epoch 87/150 | Train Loss: 0.3253 | Val Loss: 3.7879 | Val Acc: 81.42%
Epoch 88/150 | Train Loss: 0.3197 | Val Loss: 3.7700 | Val Acc: 81.42%
Epoch 89/150 | Train Loss: 0.3283 | Val Loss: 3.8206 | Val Acc: 82.30%
Epoch 90/150 | Train Loss: 0.3382 | Val Loss: 3.7961 | Val Acc: 81.42%
Epoch 91/150 | Train Loss: 0.3987 | Val Loss: 3.8496 | Val Acc: 80.97%
Epoch 92/150 | Train Loss: 0.3322 | Val Loss: 3.8474 | Val Acc: 80.97%
